factor,ic_mean,icir,t_stat,ls_annual,q1_annual,q5_annual
ROE,0.0008598127831169983,0.008772492487010404,0.44046299526721044,-0.0024204346252333364,0.12284278041797925,0.13190425017343088
NPG,-0.0038529583030697087,-0.06111628894367261,-3.0686220281871424,-0.0564240304774446,0.13678382821447221,0.0740936840114177
SRG,-0.005198763507099089,-0.06210565358630385,-3.1182975924067864,-0.019123446189693083,0.0992241445166051,0.0773999993447394
GPM,-0.0027430650216565653,-0.02659189084950839,-1.3351671615263818,-0.006989680151133992,0.10280703512955602,0.09791409169265641
EP,0.0175725015085854,0.11784304551274628,5.650325192480379,-0.028884091924335276,0.07625875347324707,0.07311998036004486
BP,0.026391305825927008,0.14579745824692475,7.320426350535599,-0.019221027898030263,0.08094430007510423,0.10475534891205562
SIZE,0.029504793705381404,0.23651476175967878,12.382626392061633,0.7541907808772434,-0.1820712258736068,0.44147895949013405
QUAL,-0.0015644678120891877,-0.015113906025808324,-0.7588625841711456,-0.00754705209046036,0.1130145560151703,0.11367512863768692
VG,-0.005095526960765789,-0.06433564166408125,-3.230264314476073,-0.045775302634140536,0.11439250989216587,0.06313461682379384
