indicator,index,q1,q2,q3,q4,q5,q5_minus_q1
limit_up_n,HS300,0.005030734856110623,0.004290771349650404,0.004311032852854411,0.008935742079270267,-0.0010102969283156558,-0.006041031784426279
limit_up_n,CSI1000,-0.0034505683137562673,-0.005349162622668404,-0.0011955478911067348,0.009949442759706495,0.003964604938788769,0.007415173252545036
limit_up_z,HS300,0.004673160829547135,0.0022943469644672596,0.003650215809039584,0.0025844025288550222,0.0017666959288486141,-0.002906464900698521
limit_up_z,CSI1000,0.007549809777172788,-0.004000485808124187,-0.001040357647417445,0.0030997109964252677,0.006969216060458499,-0.0005805937167142894
up_ratio,HS300,0.006333257988816654,0.006261637002757628,0.0024377974356963295,-0.0030491450883542146,0.005524347253016402,-0.0008089107358002518
up_ratio,CSI1000,0.005609342556843434,0.003946018438240703,-0.0039952343941116785,-0.0034539892784383754,0.011518576926787932,0.005909234369944498
med_ret_20,HS300,0.0059174871927127745,0.0074809298993964235,-0.0004041908512781863,-4.595575597106383e-05,0.0032564714338378944,-0.00266101575887488
med_ret_20,CSI1000,0.015332048380607362,0.0010770598298448482,-0.007042921756201928,-0.004687257615126648,0.008771414714647612,-0.006560633665959751
new_high_20,HS300,0.007612858969634496,0.005517025289199859,-0.0004529880485350095,0.0034789374610256635,0.0021176678531580916,-0.005495191116476405
new_high_20,CSI1000,0.015152107199574967,0.0013257034521548935,-0.007279185867554505,0.0037554861197663728,0.003311145748196617,-0.01184096145137835
amount_z,HS300,-6.223342546236854e-05,-0.0008603417576350077,0.00276732382159679,0.005540115631562013,0.00867331293697144,0.008735546362433809
amount_z,CSI1000,-0.0057236346276292325,-0.006233371578930292,0.0007600946717639517,0.00974254160217778,0.015477629119807018,0.02120126374743625
north_z,HS300,-0.010971410231609592,-0.00045746041181474976,0.005260465991333789,0.00886947323535315,-0.0013760399875311553,0.009595370244078437
north_z,CSI1000,-0.0164438640298561,-0.0010973065567230081,-0.0017649715932123457,0.00234321177452475,0.0027843682090318038,0.019228232238887904
margin_chg,HS300,0.0005695837290683472,0.010306976036652574,0.004146721724636479,-0.0007918350395312325,0.003852460410792744,0.0032828766817243967
margin_chg,CSI1000,0.017490363093929227,-0.0003566804080870237,-0.005094571305671386,0.00015743340883827515,0.005949706364451046,-0.011540656729478183
