indicator,ic_HS300_5d,ic_HS300_20d,ic_CSI1000_5d,ic_CSI1000_20d
limit_up_n,-0.042960138399784215,-0.07762944373355213,0.05522310599704917,0.0831661068848861
limit_up_z,-0.011304493120333655,-0.02589036442228064,0.02806656367503854,0.007741190754906167
up_ratio,-0.038006573894428346,-0.0168192652812056,0.02029018427549346,0.007108461918463502
med_ret_20,-0.05410415289452901,-0.07812624834784795,-0.040216364251503205,-0.07665400161452693
new_high_20,-0.07084528909730331,-0.06984961447958198,-0.04731098093614222,-0.0391238202546418
amount_z,0.023486852154479817,0.03766160457062941,0.05311239545174709,0.1000442203167715
north_z,0.0014622498068367917,0.09444852018371765,0.029584589389370475,0.09309365834528552
margin_chg,-0.0331711860288136,-0.044323258809399725,-0.054302897874664496,-0.061455446607004055
