indicator,index,variant,annual,max_dd,position_ratio,bh_annual,bh_max_dd,excess,n_switches
limit_up_n,HS300,raw,0.03655804141450614,-0.4560261954822534,0.9995995194233079,0.03660840427892453,-0.4560261954822534,-5.0362864418396214e-05,1
limit_up_n,HS300,ma20,0.03676973373274306,-0.4560261954822541,0.9919903884661594,0.03660840427892453,-0.4560261954822534,0.00016132945381852615,1
limit_up_n,CSI1000,raw,-0.007626487867296583,-0.5511305885239317,0.9995995194233079,-0.0075787429663987105,-0.5511305885239319,-4.774490089787253e-05,1
limit_up_n,CSI1000,ma20,-0.012958901698429282,-0.5511305885239319,0.9919903884661594,-0.0075787429663987105,-0.5511305885239319,-0.005380158732030571,1
limit_up_z,HS300,raw,-0.037874005996021864,-0.4567617843177503,0.4181017220664798,0.03660840427892453,-0.4560261954822534,-0.0744824102749464,806
limit_up_z,HS300,ma20,0.01138565323222962,-0.255207631200293,0.42811373648378054,0.03660840427892453,-0.4560261954822534,-0.025222751046694913,96
limit_up_z,CSI1000,raw,0.015501027193909778,-0.3954641314506351,0.4181017220664798,-0.0075787429663987105,-0.5511305885239319,0.023079770160308488,806
limit_up_z,CSI1000,ma20,0.008292823965071472,-0.37798346101043756,0.42811373648378054,-0.0075787429663987105,-0.5511305885239319,0.015871566931470182,96
up_ratio,HS300,raw,0.03655804141450614,-0.4560261954822534,0.9995995194233079,0.03660840427892453,-0.4560261954822534,-5.0362864418396214e-05,1
up_ratio,HS300,ma20,0.03676973373274306,-0.4560261954822541,0.9919903884661594,0.03660840427892453,-0.4560261954822534,0.00016132945381852615,1
up_ratio,CSI1000,raw,-0.007626487867296583,-0.5511305885239317,0.9995995194233079,-0.0075787429663987105,-0.5511305885239319,-4.774490089787253e-05,1
up_ratio,CSI1000,ma20,-0.012958901698429282,-0.5511305885239319,0.9919903884661594,-0.0075787429663987105,-0.5511305885239319,-0.005380158732030571,1
med_ret_20,HS300,raw,0.0005276426798144218,-0.1931144267741638,0.22587104525430515,0.03660840427892453,-0.4560261954822534,-0.03608076159911011,198
med_ret_20,HS300,ma20,0.01218532677925177,-0.16130533449310858,0.1766119343211854,0.03660840427892453,-0.4560261954822534,-0.024423077499672763,47
med_ret_20,CSI1000,raw,0.03813912002686015,-0.15827253503832395,0.22587104525430515,-0.0075787429663987105,-0.5511305885239319,0.04571786299325886,198
med_ret_20,CSI1000,ma20,0.010609012595233391,-0.2564805817574187,0.1766119343211854,-0.0075787429663987105,-0.5511305885239319,0.018187755561632102,47
new_high_20,HS300,raw,0.03655804141450614,-0.4560261954822534,0.9995995194233079,0.03660840427892453,-0.4560261954822534,-5.0362864418396214e-05,1
new_high_20,HS300,ma20,0.03676973373274306,-0.4560261954822541,0.9919903884661594,0.03660840427892453,-0.4560261954822534,0.00016132945381852615,1
new_high_20,CSI1000,raw,-0.007626487867296583,-0.5511305885239317,0.9995995194233079,-0.0075787429663987105,-0.5511305885239319,-4.774490089787253e-05,1
new_high_20,CSI1000,ma20,-0.012958901698429282,-0.5511305885239319,0.9919903884661594,-0.0075787429663987105,-0.5511305885239319,-0.005380158732030571,1
amount_z,HS300,raw,0.02863635614190252,-0.34144238968053287,0.4777733279935923,0.03660840427892453,-0.4560261954822534,-0.007972048137022014,570
amount_z,HS300,ma20,0.0428414772491259,-0.24595742577627644,0.4417300760913096,0.03660840427892453,-0.4560261954822534,0.00623307297020137,82
amount_z,CSI1000,raw,0.09155133386126657,-0.25824552944668755,0.4777733279935923,-0.0075787429663987105,-0.5511305885239319,0.09913007682766528,570
amount_z,CSI1000,ma20,0.06370183392267181,-0.41650401907384915,0.4417300760913096,-0.0075787429663987105,-0.5511305885239319,0.07128057688907052,82
north_z,HS300,raw,0.00170396770125536,-0.30980744998291576,0.394873848618342,0.03660840427892453,-0.4560261954822534,-0.03490443657766917,148
north_z,HS300,ma20,0.012907479540780642,-0.2923718457128951,0.2523027633159792,0.03660840427892453,-0.4560261954822534,-0.02370092473814389,68
north_z,CSI1000,raw,-0.04496628479650211,-0.5113236186262867,0.394873848618342,-0.0075787429663987105,-0.5511305885239319,-0.0373875418301034,148
north_z,CSI1000,ma20,0.015773865013899213,-0.40355480274799316,0.2523027633159792,-0.0075787429663987105,-0.5511305885239319,0.023352607980297924,68
margin_chg,HS300,raw,0.00553637877442581,-0.3318751156191516,0.5170204245094113,0.03660840427892453,-0.4560261954822534,-0.031072025504498724,126
margin_chg,HS300,ma20,0.03489999258335619,-0.24754048959133423,0.4937925510612735,0.03660840427892453,-0.4560261954822534,-0.001708411695568346,52
margin_chg,CSI1000,raw,-0.038458303593904786,-0.5550758115348562,0.5170204245094113,-0.0075787429663987105,-0.5511305885239319,-0.030879560627506075,126
margin_chg,CSI1000,ma20,0.022236505177589017,-0.3140684481223429,0.4937925510612735,-0.0075787429663987105,-0.5511305885239319,0.029815248143987727,52
